company_name,company_address
SET plus plus d.o.o.,"Zarija Vujoševića 8, Beograd (Novi Beograd)"
SRC sistemske integracije d.o.o.,"Bulevar Mihajla Pupina 165v, Beograd - Novi Beograd"
Holycode d.o.o.,"Đorđa Stanojevića 14, Beograd - Novi Beograd"
Compass Development International d.o.o.,"Bulevar Mihajla Pupina 117a, Novi Beograd"
Ogranak Aspire Technology Limited Beograd,"Bulevar Mihajla Pupina 10z/I, Beograd-Novi Beograd"
CallidusCloud,"Omladinskih brigada 90D, Beograd-Novi Beograd"
VICERT (former Pamet d.o.o.),"Miletnija Popovića 9, Beograd-Novi Beograd"
NPS d.o.o.,"Goce Dolčeva 44, Beograd-Novi Beograd"
Elsys Eastern Europe d.o.o.,"Omladinskih brigada 88/b, grada 15, Beograd-Novi Beograd"
Huawei Technologies d.o.o.,"Vladimira Popovića 38/V, Beograd-Novi Beograd"
Serie Computers,"Narodnih Heroja 7, Beograd-Novi Beograd"
Omnis – Društvo za računarski inžinjering,"Goce Dolčeva 44, Beograd-Novi Beograd"
Zea Stim R&D,"Jurija Gagarina 164 b, Novi Beograd"
Internet Group,"Savski Nasip 7, Beograd - Novi Beograd"
Thinking Engineers,"Goce Dalčeva 42, Beograd - Novi Beograd"
United Internet,"Bulevar Milutina Milankovića 9e, Beograd - Novi Beograd"
BEPECS - Best People Best Performance Cloud Services,"Bulevar maršala Tolbuhina 44, Beograd - Novi Beograd"
Atamagai,"Vojvođanska 115, Beograd - Novi Beograd"
BridTV,"Omladinskih brigada 90b, Novi Beograd"
Dib Services Balkan d.o.o. ,"Bulevar Mihajla Pupina 165e, Beograd - Novi Beograd"
OpenSpend Inc. d.o.o.,"Milentija Popovića 5v, Beograd - Novi Beograd"
SAGlobal d.o.o.,"Španskih boraca 1a, Beograd - Novi Beograd"
Mitto AG,"Đorđa Stanojevića 12, Beograd - Novi Beograd"
Northprim,"Uroša Martinovića 18, Beograd (Novi Beograd)"
KS Production d.o.o.,"Bulevar Zorana Đinđića 81, Beograd - Novi Beograd"
Seven Bridges,"Milutina Milankovića 1d, Beograd-Novi Beograd"
Raiffeisen banka a.d.,"Đorđa Stankovića 16, Beograd-Novi Beograd"
Blue Grid d.o.o.,"Bulevar Mihaila Pupina 10 A1, Beograd - Novi Beograd"
Everseen d.o.o.," Bulevar Milutina Milankovića 1ž, Novi Beograd"
Embla Solutions d.o.o.,"Đorđa Stanojevića 12, Beograd - Novi Beograd"
Privax d.o.o.,"Bulevar Mihaila Pupina 6, Novi Beograd"
Telenor d.o.o.,"Omladinskih Brigada 90, Beograd-Novi Beograd"
Robert Bosch d.o.o.,"Milutina Milankovica 11a, Beograd-Novi Beograd"
Engineering Software Lab d.o.o.,"Bulevar Milutina Milankovića 17, Beograd - Novi Beograd "
enjoy.ing,"Milutina Milankovica 11b, Beograd-Novi Beograd"
